Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet,longHT_shortLT
5/19/2014,0.006539978,-0.002114902,0.003920229,-0.00865488
5/20/2014,-0.007767696,-0.006508691,-0.00646615,0.001259005
5/21/2014,0.012022066,0.002213425,0.008259314,-0.009808641
5/22/2014,0.001851775,0.000780697,0.002501135,-0.001071078
5/23/2014,0.004618666,0.006110442,0.004262355,0.001491776
5/27/2014,0.006823746,0.003324524,0.005995497,-0.003499222
5/28/2014,-0.001109752,0.001889794,-0.000957148,0.002999546
5/29/2014,0.003353436,0.003956402,0.005493679,0.000602966
5/30/2014,0.002298638,0.004320268,0.001850967,0.00202163
6/2/2014,0.000644097,0.001002371,0.000818897,0.000358274
6/3/2014,0.000234266,-0.002779166,-0.000327291,-0.003013432
6/4/2014,0.005954067,0.000195035,0.002070649,-0.005759032
6/5/2014,0.008034374,0.00721035,0.00659175,-0.000824024
6/6/2014,0.005311119,0.005219929,0.004774771,-9.119E-05
6/9/2014,0.001528898,-0.002539282,0.000988954,-0.00406818
6/10/2014,-0.000907314,-0.003642021,-0.000240625,-0.002734707
6/11/2014,-0.002924521,-0.002742883,-0.00342619,0.000181638
6/12/2014,-0.005049516,-0.003282992,-0.006804905,0.001766524
6/13/2014,7.47E-06,0.002239371,0.003149701,0.002231905
6/16/2014,0.000108875,0.000749381,0.000844127,0.000640506
6/17/2014,0.003599123,0.001507032,0.00219117,-0.002092091
6/18/2014,0.008773202,0.00555582,0.007730515,-0.003217382
6/19/2014,-0.00122542,0.000248121,0.001416311,0.001473541
6/20/2014,0.001921762,-0.004048897,0.001735485,-0.005970659
6/23/2014,-0.001012448,0.000685194,-0.000129373,0.001697642
6/24/2014,-0.010754792,-0.004847931,-0.006348554,0.005906861
6/25/2014,0.001988106,0.002517469,0.004922762,0.000529363
6/26/2014,-0.00338495,-0.000501647,-0.001008462,0.002883303
6/27/2014,0.003840372,0.004293503,0.001965384,0.000453131
6/30/2014,0.005668671,0.002804834,-0.000329267,-0.002863837
7/1/2014,0.00269965,0.003039297,0.006860576,0.000339647
7/2/2014,-0.005579939,-0.005885236,0.000715774,-0.000305297
7/3/2014,0.00727013,0.000575356,0.00548181,-0.006694774
7/7/2014,-0.008328509,-0.001319348,-0.003884704,0.007009161
7/8/2014,-0.006430948,0.001580029,-0.006756399,0.008010977
7/9/2014,0.005368444,0.001387902,0.004704356,-0.003980542
7/10/2014,-0.006407706,0.000350756,-0.004134426,0.006758462
7/11/2014,-0.001423302,-0.001247011,0.001569127,0.000176291
7/14/2014,0.000285405,0.001363825,0.004845743,0.00107842
7/15/2014,0.000658789,0.002047084,-0.001927277,0.001388295
7/16/2014,-0.001504966,0.002055607,0.0043175,0.003560573
7/17/2014,-0.009119594,-0.006085253,-0.011736521,0.003034341
