Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet
2014-06-02,0.000644097,0.001002371,0.000818897
2014-06-03,0.000234266,-0.002779166,-0.000327291
2014-06-04,0.005954067,0.000195035,0.002070649
2014-06-05,0.008034374,0.00721035,0.00659175
2014-06-06,0.005311119,0.005219929,0.004774771
2014-06-09,0.001528898,-0.002539282,0.000988954
2014-06-10,-0.000907314,-0.003642021,-0.000240625
2014-06-11,-0.002924521,-0.002742883,-0.00342619
2014-06-12,-0.005049516,-0.003282992,-0.006804905
2014-06-13,7.46632E-06,0.002239371,0.003149701
2014-06-16,0.000108875,0.000749381,0.000844127
2014-06-17,0.003599123,0.001507032,0.00219117
2014-06-18,0.008773202,0.00555582,0.007730515
2014-06-19,-0.00122542,0.000248121,0.001416311
2014-06-20,0.001921762,-0.004048897,0.001735485
2014-06-23,-0.001012448,0.000685194,-0.000129373
2014-06-24,-0.010754792,-0.004847931,-0.006348554
2014-06-25,0.001988106,0.002517469,0.004922762
2014-06-26,-0.00338495,-0.000501647,-0.001008462
2014-06-27,0.003840372,0.004293503,0.001965384
2014-06-30,0.005668671,0.002804834,-0.000329267
2014-07-01,0.00269965,0.003039297,0.006860576
2014-07-02,-0.005579939,-0.005885236,0.000715774
2014-07-03,0.00727013,0.000575356,0.00548181
2014-07-07,-0.008328509,-0.001319348,-0.003884704
2014-07-08,-0.006430948,0.001580029,-0.006756399
2014-07-09,0.005368444,0.001387902,0.004704356
2014-07-10,-0.006407706,0.000350756,-0.004134426
2014-07-11,-0.001423302,-0.001247011,0.001569127
2014-07-14,0.000285405,0.001363825,0.004845743
2014-07-15,0.000658789,0.002047084,-0.001927277
2014-07-16,-0.001504966,0.002055607,0.0043175
2014-07-17,-0.009119594,-0.006085253,-0.011736521
2014-07-18,0.008662398,0.00803465,0.010271051
2014-07-21,-0.002600828,-0.003424113,-0.002290836
2014-07-22,0.003900964,0.002324177,0.005016774
2014-07-23,0.001549106,0.002485166,0.001764894
2014-07-24,0.002379075,0.006386841,0.000499403
2014-07-25,-0.00411793,-0.004933058,-0.004830704
2014-07-28,-0.000905829,0.004676452,0.000292587
2014-07-29,-0.010968197,0.004296074,-0.004479446
2014-07-30,0.002753023,-0.005539725,0.000223861
2014-07-31,-0.016900443,-0.01704439,-0.019935934
2014-08-01,-0.000657739,-0.001054925,-0.002857396
2014-08-04,0.00797571,0.00295293,0.007194018
2014-08-05,-0.0067455,-0.01240169,-0.009592674
2014-08-06,-0.001691366,-0.002492464,0.000318548
2014-08-07,-0.004931788,-0.000614052,-0.005316051
2014-08-08,0.012268162,0.015869579,0.011557076
2014-08-11,0.002786805,0.002262636,0.00294251
2014-08-12,-0.00256836,0.000662353,-0.001583498
2014-08-13,0.005722924,0.005305074,0.006964772
2014-08-14,0.0047529,0.004015203,0.004397102
2014-08-15,0.000353095,-0.001415415,5.63068E-05
2014-08-18,0.009409106,0.007526794,0.008594746
2014-08-19,0.002334214,0.005621557,0.005199989
2014-08-20,0.001159724,0.001745873,0.002543505
2014-08-21,0.002909361,0.004490368,0.002974665
2014-08-22,-0.002663976,-0.005481858,-0.001858485
2014-08-25,0.005084668,0.003527328,0.004802877
2014-08-26,2.7621E-05,-0.001710243,0.001060063
2014-08-27,0.00052618,0.002956037,0.000255796
2014-08-28,-0.001665388,0.000226083,-0.001556382
2014-08-29,0.00303783,0.004764974,0.00340404
2014-09-02,5.36798E-05,0.000312728,-0.000499542
2014-09-03,-0.001282489,0.001383562,-0.000595905
2014-09-04,-0.000867858,-0.001664536,-0.001505763
2014-09-05,0.002471378,0.009466874,0.00506072
2014-09-08,-0.00130949,-0.005432947,-0.002902313
2014-09-09,-0.003844931,-0.005546963,-0.006527243
2014-09-10,0.000916852,-0.002319186,0.003748041
2014-09-11,0.001587098,0.004909394,0.001159317
2014-09-12,-0.004218239,-0.013473495,-0.00594115
2014-09-15,-0.002312555,0.006078572,-0.000702811
2014-09-16,0.008338202,0.003682865,0.007498228
2014-09-17,-0.000860032,0.000315347,0.001319189
2014-09-18,0.006374865,0.000952504,0.005031015
2014-09-19,-0.006064707,0.002292612,-0.000464261
2014-09-22,-0.008892796,-0.007996518,-0.008013596
2014-09-23,-0.003254826,-0.00354146,-0.005673837
2014-09-24,0.008311814,0.003867689,0.007850198
2014-09-25,-0.014890678,-0.011438234,-0.016169017
2014-09-26,0.007275531,0.007317788,0.008763525
2014-09-29,-0.000658592,-0.00033362,-0.002461936
2014-09-30,-0.004280319,-0.003061802,-0.002731747
2014-10-01,-0.009845135,-0.005438353,-0.013158884
2014-10-02,-0.002104427,0.000439136,9.02685E-05
2014-10-03,0.006482239,0.008492286,0.011181
2014-10-06,-0.001022546,0.000446352,-0.001539775
2014-10-07,-0.017000963,-0.010745404,-0.015122562
2014-10-08,0.014675867,0.017508379,0.017808464
2014-10-09,-0.023069574,-0.01515725,-0.020609966
2014-10-10,-0.011468176,-0.000928238,-0.011351348
2014-10-13,-0.021586732,-0.010531156,-0.016469836
2014-10-14,0.006462835,0.004299713,0.001586182
2014-10-15,-0.008401001,-0.005326473,-0.008006007
2014-10-16,-0.000439086,0.005406923,0.000179674
2014-10-17,0.012239459,0.005374086,0.012884169
2014-10-20,0.00950398,0.013603916,0.009158601
2014-10-21,0.026063133,0.016672823,0.019594398
2014-10-22,-0.005926257,-0.004507186,-0.007185849
2014-10-23,0.011585452,0.010013826,0.012304075
2014-10-24,0.007512935,0.008174268,0.007062727
2014-10-27,0.002141108,0.000604827,-0.001493654
2014-10-28,0.015107117,0.00818059,0.011936351
2014-10-29,0.002044833,-0.001131812,-0.001279302
2014-10-30,0.00611676,0.008233946,0.006299574
2014-10-31,0.014384294,0.010176521,0.011736728
2014-11-03,-0.000667753,-0.000723956,-0.000111413
2014-11-04,-0.008044972,-0.003359497,-0.00282641
2014-11-05,0.011139479,0.009515088,0.006050398
2014-11-06,0.006730406,-0.00347894,0.004082484
2014-11-07,0.001054344,0.007145787,0.000542298
2014-11-10,0.002108641,0.002910649,0.003179217
2014-11-11,0.002216761,-0.000387071,0.00069619
2014-11-12,-0.000747118,-0.003248144,-0.000413663
2014-11-13,-0.000371611,-0.000255427,0.000612689
2014-11-14,0.00195406,-0.001227463,0.000359869
