x,y
-0.006404392,-0.013757126
0.017188459,0.018144891
-0.021726011,-0.02062189
0.022516965,0.025375882
0.00331825,0.002177377
0.027961515,0.024155037
0.00731208,0.006853357
0.006097561,0.007609361
-0.006349206,-0.00736323
0.007551554,0.010738723
0.00922456,0.000637269
0.006569552,0.009516402
0.002553916,0.005000336
-0.004245684,-0.000355022
0.007959068,0.00454487
-0.023970671,-0.019367929
0.012424155,0.00668276
0.005993151,0.008190297
-0.01929078,-0.022054622
-0.011570726,-0.006606619
0.000877963,-0.010566702
0.000292398,0.009292386
0.033615902,0.026214267
-0.001131222,0.002357966
0.00198188,-0.001965508
-0.00593388,-0.000242942
0.01648664,0.018369827
-0.006711409,-0.004924658
0.009009009,0.000795926
0.002762277,0.008702346
-0.008597902,-0.002835324
-0.012349144,-0.014764318
-0.003694231,-0.005612515
0.0213919,0.021961137
-0.001117006,-0.002905726
-0.020408163,-0.01884072
-0.010273973,-0.010695658
-0.023068051,-0.014582429
0.00974026,0.009564705
-0.00958784,-0.009332135
0.010329969,0.006357866
0.027693386,0.028134328
0,-0.002072209
0.004548039,0.005345477
0.001131862,0.003568562
0.014697569,0.015140477
-0.005571031,-0.004902969
-0.012605042,-0.009975289
0.010780142,0.004370594
-0.016559079,-0.015732617
0.005565068,0.005714492
-0.022846601,-0.020791384
0.003775777,-0.001904573
0.021412037,0.019821237
-0.001699717,0.003454373
-0.013053348,-0.015762674
0.002012651,0.003148893
0.001721664,-0.001447576
0.018619307,0.018144313
-0.002812148,-0.002618028
0.003102087,0.002461164
0.007590666,0.009723505
0.001674107,-0.002800497
-0.001392758,0.001987144
0.016457462,0.016988769
0.003293085,0.00170134
-0.00273523,-0.003233015
-0.002742732,0.001664101
0.020077008,0.02027427
0.006740361,0.00489472
0.009105517,0.009892152
0.007935244,0.010866537
-0.006556255,-0.006349086
0.015902465,0.011913644
-0.009939995,-0.0072597
0.003452001,0.007017611
0.00262605,-0.000936095
0.010214772,0.014882713
-0.000777807,0.003511079
-0.004151531,-0.00255556
-0.005992705,-0.010937871
-0.003669725,0.002303138
0.015259142,0.014106613
-0.022026432,-0.017543209
-0.016958135,-0.018247934
0.003773585,-0.004371742
-0.004564984,-0.000993993
-0.002697599,-0.001449002
-0.001081958,0.001494638
-0.016246954,-0.0250908
0.003853565,0.002729709
0.018124486,0.022030197
-0.000296248,-0.001648434
0.001616379,0.007166307
0.010758472,0.006961472
-0.008781267,-0.00767725
-0.008322148,-0.009656374
0.013535463,0.013049287
0.002938034,-0.001827154
-0.01517976,-0.014692034
-0.003244997,-0.003900879
-0.011123169,-0.014915656
-0.002469136,-0.001038587
0.006050605,0.008779959
0.002460361,0.004768456
-0.002727025,-0.00134964
0.013125513,0.01378985
-0.011605938,-0.008812879
-0.005461496,-0.00306645
0.00933553,0.01070917
-0.003536453,-0.003635446
-0.023478023,-0.01894504
-0.003075203,-0.006777927
-0.013180034,-0.015508139
-0.009093492,-0.010268025
0.018353886,0.021031298
-0.01745987,-0.022934789
0.00171969,0.002016098
0.015736767,0.017343592
-0.004507042,-0.007234897
-0.016694963,-0.011185535
-0.012661871,-0.015732046
-0.008160886,-0.004234766
0.011460476,0.004048265
0.026815805,0.030218675
-0.00348018,-0.003629782
0.016183986,0.01668863
0.003352892,0.004053628
-0.001949318,-0.00319492
0.008928571,0.010435522
0.025995575,0.020932615
0.009433962,0.010668567
-0.012550067,-0.009227464
-0.001081666,-0.004685745
0,0.00128881
0.006226313,0.006139469
-0.014527845,-0.017123271
0.004914005,-0.002573699
-0.01792991,-0.011192964
-0.001659751,-0.003207155
0.012191743,0.012375285
-0.023268546,-0.020687545
0.008688341,0.008617127
0.025840511,0.018715776
0.007854821,0.008293362
-0.007256114,-0.006337888
-0.001894965,-0.002080417
-0.018171956,-0.021112425
-0.015469613,-0.015424165
-0.024410774,-0.01971203
0.00949094,0.009688172
0.004273504,0.006083138
0.007943262,0.003613503
-0.007599212,-0.009945916
-0.008224617,-0.010200145
-0.008550186,-0.011380998
0.014969283,0.018608465
0.001989201,-0.002962183
-0.007090187,0.000232917
-0.00742645,-0.011275725
-0.009496403,-0.014486989
0.009006392,0.011290494
-0.001151742,0.000210055
0.00461228,-0.00075604
0.004849354,0.008175618
0.006881978,0.00570154
0.019852524,0.02167672
0.006395996,0.005898912
0.006355347,0.004265876
0.003569467,0.001129722
-0.001367989,0.002031205
-0.002191781,-0.000870897
-0.012081274,-0.014422403
0.005836576,0.009367646
0.023763471,0.021230311
0.001403509,0.001459566
-0.014096275,-0.016238626
0.007135242,0.004659706
-0.014115092,-0.01488076
0.012940529,0.013006847
-0.001630878,0.001342892
-0.009256738,-0.007288753
0.001374004,0.001546798
-0.007958288,-0.006197694
0.014661134,0.010010444
0.011995638,0.013493059
-0.001885776,-0.002676485
0.007557355,0.004917587
-0.008277525,-0.00270988
0.009427082,0.007490914
0.00990099,0.006324095
-0.01854796,-0.015701153
-0.005939525,-0.004407942
-0.021455731,-0.021541669
0.001831807,0.001374727
-0.010970745,-0.015643284
0.00140056,0.005691848
-0.004195804,-0.004835763
-0.001404494,-0.002704732
-0.010126582,-0.008667272
-0.00341006,-0.001128639
-0.01140576,-0.015449102
-0.002019037,0.000364919
0.023988439,0.017647183
-0.029071408,-0.022250507
0.013662791,0.007847742
-0.018927445,-0.021161511
-0.004384683,-0.005348198
0.013799178,0.016363705
-0.004344049,-0.005753893
0.011634671,0.0123085
0.003162737,0.003355989
0.002006306,0.002516486
-0.020881007,-0.017260705
0.000292141,-0.002195484
-0.018691589,-0.018010379
-0.026190476,-0.024538067
0.002444988,-0.00124376
0.0125,0.0191901
-0.00873231,-0.014513732
-0.013669502,-0.016743646
0.001539883,0.002703701
0.011285363,0.014598003
0.011341868,0.006967863
0.017739026,0.020149039
-0.005258493,-0.006255775
0.010038014,0.009959582
0.002352249,0.00068775
-0.000293341,-0.000979506
0.01379108,0.013027746
-0.004341534,-0.004186919
0.004651163,0.00496166
-0.016782407,-0.013673378
0.001177163,0.000883024
0.007348618,0.00672238
0.014881821,0.012451747
-0.018372628,-0.015452914
0.008464896,0.007631982
-0.003804821,-0.004196575
0.008484212,0.010293762
0.015322347,0.013194999
0.01309795,0.008533319
0.001405284,0.002629455
-0.010580971,-0.009830702
0.001900547,0.003986007
0.003114383,0.003160474
8.47E-05,-0.001046701
0.003866452,0.006875844
-0.017430419,-0.018426094
-0.000886981,0.000395588
-0.003436525,-0.003680154
-0.008592201,-0.010425046
0.002028986,0.005475994
0.014752676,0.01288679
0.001710376,0.001533251
0.027319294,0.023928236
0.005900277,0.005248309
0.001294302,0.001599381
0.007975798,0.007963792
-0.011186903,-0.011412369
-0.018211921,-0.014652146
0.004777965,0.004583758
